1,2.62,1,heart_step_1_120.pcd,37.315399,heart_step_1_100.pcd,63.788200,275
2,38.777,14,heart_step_2_160.pcd,22.758200,heart_step_2_0.pcd,22.944300,642
3,38.734,13,heart_step_3_0.pcd,39.608898,heart_step_2_0.pcd,80.624199,891
4,23.552,8,heart_step_4_340.pcd,5.394400,heart_step_4_320.pcd,13.260500,973
5,18.348,6,heart_step_5_0.pcd,5.315800,heart_step_4_180.pcd,42.990799,1255
6,14.888,4,heart_step_6_160.pcd,29.757500,heart_step_6_0.pcd,34.476898,1416
7,55.182,17,heart_step_7_220.pcd,2.860100,heart_step_7_20.pcd,8.818100,1712
8,3.317,1,heart_step_8_220.pcd,21.895000,heart_step_8_20.pcd,29.443899,2013
8,3.38,1,heart_step_8_220.pcd,35.006001,heart_step_8_20.pcd,36.900101,2037
1,2.694,1,heart_step_1_120.pcd,36.248402,heart_step_1_0.pcd,60.486198,260
2,11.36,4,heart_step_2_20.pcd,30.004000,heart_step_2_140.pcd,31.709400,585
3,11.965,4,heart_step_3_340.pcd,20.956800,heart_step_3_220.pcd,22.087601,841
4,35.794,12,heart_step_4_340.pcd,12.160600,heart_step_4_320.pcd,17.285400,923
5,15.24,5,heart_step_5_0.pcd,9.491400,heart_step_4_340.pcd,48.631901,1412
6,9.656,3,heart_step_6_20.pcd,44.068699,heart_step_6_160.pcd,44.983398,1505
7,13.02,4,heart_step_7_220.pcd,8.344100,heart_step_6_200.pcd,14.087200,1611
1,2.721,1,heart_step_1_120.pcd,56.367100,heart_step_1_0.pcd,72.551003,233
2,8.4,3,heart_step_2_0.pcd,46.405102,heart_step_1_120.pcd,89.197800,522
3,8.582,3,heart_step_3_180.pcd,29.231899,heart_step_3_160.pcd,39.987999,557
4,11.548,4,heart_step_4_340.pcd,42.021599,heart_step_3_180.pcd,48.428101,819
5,17.75,6,heart_step_5_0.pcd,19.530600,heart_step_4_340.pcd,41.274601,1053
6,6.167,2,heart_step_6_160.pcd,19.580601,heart_step_6_0.pcd,33.779800,979
7,25.055,8,heart_step_7_20.pcd,8.096100,heart_step_7_180.pcd,16.147400,1350
8,9.546,3,heart_step_8_220.pcd,17.283701,heart_step_8_140.pcd,21.379999,1585
9,76.715,23,heart_step_9_220.pcd,39.248501,heart_step_9_0.pcd,48.209999,1741
10,10.037,3,heart_step_10_200.pcd,10.032500,heart_step_10_20.pcd,11.107700,1956
11,30.854,9,heart_step_11_340.pcd,3.796000,heart_step_10_200.pcd,9.942800,2060
12,10.372,3,heart_step_12_0.pcd,27.798201,heart_step_11_200.pcd,36.324699,2174
1,26.698,9,heart_step_1_20.pcd,55.682701,heart_step_1_100.pcd,58.512402,241
1,9.133,2,heart_step_1_120.pcd,32.285099,heart_step_1_100.pcd,47.008301,314
2,12.824,4,heart_step_2_100.pcd,52.099201,heart_step_2_0.pcd,75.398804,475
3,26.083,8,heart_step_3_60.pcd,35.693100,heart_step_3_40.pcd,51.957199,751
4,17.67,5,heart_step_4_60.pcd,31.161200,heart_step_4_40.pcd,33.393902,948
5,11.167,3,heart_step_5_140.pcd,27.833200,heart_step_4_340.pcd,34.121498,1184
6,23.777,7,heart_step_6_120.pcd,38.077400,heart_step_5_140.pcd,48.641499,1240
7,11.805,3,heart_step_7_40.pcd,17.559900,heart_step_7_20.pcd,18.941200,1634
8,30.629,9,heart_step_8_220.pcd,30.807899,heart_step_8_160.pcd,49.747601,1832
9,45.999,12,heart_step_9_340.pcd,33.853001,heart_step_9_220.pcd,36.823700,2091
10,42.255,9,heart_step_10_140.pcd,14.900700,heart_step_10_0.pcd,49.606300,2199
11,16.032,3,heart_step_11_140.pcd,0.272700,heart_step_11_0.pcd,0.823200,2320
12,8.017,2,heart_step_12_160.pcd,10.140300,heart_step_11_0.pcd,30.324400,2540
1,7.006,2,heart_step_1_120.pcd,40.245300,heart_step_1_0.pcd,54.046799,270
2,12.505,4,heart_step_2_220.pcd,24.857500,heart_step_2_20.pcd,32.045601,485
3,11.662,3,heart_step_3_80.pcd,37.616100,heart_step_3_100.pcd,37.720200,601
4,16.817,5,heart_step_4_140.pcd,34.927502,heart_step_3_60.pcd,45.085999,859
5,10.414,3,heart_step_5_120.pcd,33.928299,heart_step_5_0.pcd,55.136902,967
6,18.575,3,heart_step_6_120.pcd,20.914400,heart_step_6_100.pcd,48.797100,1017
7,31.543,8,heart_step_7_20.pcd,-3.268300,heart_step_7_0.pcd,4.037900,1682
8,7.475,2,heart_step_8_220.pcd,9.235300,heart_step_8_20.pcd,14.248700,1772
9,15.303,3,heart_step_9_340.pcd,4.395600,heart_step_9_320.pcd,13.828800,1910
10,7.654,2,heart_step_10_220.pcd,6.237500,heart_step_10_20.pcd,9.042600,2192
11,4.058,1,heart_step_11_0.pcd,42.585800,heart_step_10_200.pcd,50.511799,2406
12,45.842,9,heart_step_12_160.pcd,22.410801,heart_step_11_140.pcd,30.103201,2356
6,14.626,1,heart_step_6_20.pcd,0.133700,heart_step_6_160.pcd,8.867800,1372
1,7.904,2,heart_step_1_120.pcd,35.016701,heart_step_1_0.pcd,47.786800,306
2,7.044,2,heart_step_2_160.pcd,28.430300,heart_step_2_140.pcd,32.551300,550
3,13.611,4,heart_step_3_180.pcd,20.800400,heart_step_3_0.pcd,29.662300,1110
4,13.801,4,heart_step_4_340.pcd,14.327200,heart_step_4_160.pcd,16.552700,921
5,10.596,3,heart_step_5_0.pcd,10.583300,heart_step_4_340.pcd,38.308201,1534
6,10.924,3,heart_step_6_20.pcd,9.882600,heart_step_6_160.pcd,10.653000,1382
7,7.26,2,heart_step_7_20.pcd,14.606300,heart_step_7_0.pcd,22.480301,1511
8,7.08,2,heart_step_8_220.pcd,8.984800,heart_step_8_20.pcd,15.548100,1670
9,7.852,2,heart_step_9_340.pcd,18.124500,heart_step_9_0.pcd,21.334801,1816
10,15.393,4,heart_step_10_140.pcd,26.416500,heart_step_10_0.pcd,74.047699,1586
11,19.27,4,heart_step_11_320.pcd,31.852100,heart_step_11_140.pcd,37.189301,2018
12,5.504,1,heart_step_12_160.pcd,30.677401,heart_step_11_0.pcd,41.250801,2169
1,12.497,2,heart_step_1_120.pcd,45.811001,heart_step_1_100.pcd,70.336998,287
2,15.373,3,heart_step_2_220.pcd,44.917400,heart_step_2_0.pcd,47.416801,448
3,26.865,5,heart_step_3_180.pcd,38.574200,heart_step_3_160.pcd,49.693001,808
1,8.904,2,heart_step_1_20.pcd,52.251598,heart_step_1_120.pcd,53.530800,261
2,12.961,4,heart_step_2_160.pcd,41.404701,heart_step_2_0.pcd,45.041199,589
3,10.241,3,heart_step_3_180.pcd,37.911598,heart_step_3_160.pcd,47.726799,725
4,26.621,8,heart_step_4_340.pcd,17.468300,heart_step_4_160.pcd,36.649799,1208
5,24.019,7,heart_step_5_140.pcd,22.412600,heart_step_5_0.pcd,28.805300,1132
6,52.233,15,heart_step_6_160.pcd,22.652700,heart_step_6_0.pcd,33.414799,1273
7,77.966,11,heart_step_7_20.pcd,43.927700,heart_step_7_0.pcd,47.073601,1481
8,10.993,2,heart_step_8_140.pcd,26.157900,heart_step_8_0.pcd,40.075600,1667
9,5.269,1,heart_step_9_340.pcd,15.827600,heart_step_8_140.pcd,21.090900,1670
8,3.701,1,heart_step_8_160.pcd,26.002300,heart_step_8_140.pcd,26.999500,1421
9,3.701,1,heart_step_9_340.pcd,21.148399,heart_step_8_160.pcd,27.787001,1420
8,4.404,1,heart_step_8_140.pcd,25.165001,heart_step_8_0.pcd,41.158298,1431
8,4.589,1,heart_step_8_140.pcd,25.943100,heart_step_7_20.pcd,46.174599,1417
