2,4.329,1,duck_step_2_160.pcd,33.886799,-,-,1061
3,89.497,18,duck_step_3_240.pcd,29.565701,-,-,1133
4,317.354,72,duck_step_4_240.pcd,28.803499,duck_step_4_180.pcd,34.650501,995
5,98.729,20,duck_step_5_240.pcd,29.483500,duck_step_5_220.pcd,32.708500,1523
6,12.831,3,duck_step_6_280.pcd,34.093800,-,-,1504
1,18.899,5,duck_step_1_320.pcd,31.764000,duck_step_1_280.pcd,33.877201,570
2,68.414,17,duck_step_2_80.pcd,22.280701,duck_step_2_40.pcd,23.105000,1003
3,16.525,4,duck_step_3_280.pcd,27.231600,duck_step_3_300.pcd,30.011600,1079
4,60.67,15,duck_step_4_320.pcd,24.388399,duck_step_3_20.pcd,30.957800,1086
5,37.388,9,duck_step_5_320.pcd,26.147499,duck_step_5_300.pcd,27.873301,1367
6,95.24,22,duck_step_6_140.pcd,28.069099,duck_step_6_60.pcd,30.811199,1435
5,3.904,1,duck_step_5_320.pcd,30.149000,duck_step_5_180.pcd,31.694300,1020
5,219.476,50,duck_step_5_320.pcd,25.397200,duck_step_5_300.pcd,32.143101,1424
6,46.524,11,duck_step_6_140.pcd,26.889700,duck_step_6_40.pcd,32.367699,1485
1,21.296,6,duck_step_1_320.pcd,33.632599,duck_step_1_180.pcd,33.724602,665
2,95.405,25,duck_step_2_0.pcd,30.459101,duck_step_2_20.pcd,34.320202,1007
3,3.744,1,duck_step_3_300.pcd,26.716600,duck_step_3_280.pcd,30.418600,1000
3,66.414,17,duck_step_3_40.pcd,27.993299,-,-,953
1,16.113,3,duck_step_1_180.pcd,33.562500,-,-,612
2,29.043,7,duck_step_2_60.pcd,21.076099,duck_step_2_20.pcd,24.059000,983
3,19.493,5,duck_step_3_340.pcd,27.053699,duck_step_3_20.pcd,33.931099,1032
4,200.041,50,duck_step_4_260.pcd,28.519199,duck_step_4_280.pcd,31.302401,1060
5,16.466,4,duck_step_5_300.pcd,32.927898,-,-,1333
6,79.087,19,duck_step_6_60.pcd,27.889601,duck_step_6_140.pcd,29.894300,1423
1,107.708,28,duck_step_1_240.pcd,32.896000,-,-,589
