1,5.579,2,duck_step_1_220.pcd,33.895401,duck_step_1_200.pcd,36.156799,510
2,44,28,duck_step_2_0.pcd,43.425499,duck_step_1_20.pcd,63.360001,716
1,31.55,20,duck_step_1_200.pcd,42.425098,duck_step_1_0.pcd,48.912399,471
1,94.129,61,duck_step_1_180.pcd,37.037201,duck_step_1_0.pcd,53.181900,585
2,8.801,6,duck_step_2_20.pcd,26.580900,duck_step_2_0.pcd,30.558701,857
3,92.047,61,duck_step_3_340.pcd,41.366001,duck_step_3_20.pcd,43.084801,1006
4,86.791,49,duck_step_4_0.pcd,33.600800,duck_step_3_20.pcd,40.499298,1282
5,20.081,13,duck_step_5_40.pcd,23.470100,duck_step_5_340.pcd,25.219700,1778
1,2.815,2,duck_step_1_180.pcd,21.713200,duck_step_1_0.pcd,26.702999,645
2,12.226,8,duck_step_2_0.pcd,23.436001,duck_step_1_20.pcd,44.588799,1000
3,6.109,4,duck_step_3_20.pcd,40.398201,duck_step_3_0.pcd,45.418598,1074
4,9.223,6,duck_step_4_0.pcd,28.899099,duck_step_3_20.pcd,38.337898,1212
5,7.956,5,duck_step_5_40.pcd,13.687900,duck_step_5_340.pcd,18.676300,1722
1,1.668,1,duck_step_1_180.pcd,18.023100,duck_step_1_0.pcd,27.617901,567
2,20.124,14,duck_step_2_340.pcd,21.853100,duck_step_2_20.pcd,22.357500,774
3,7.192,5,duck_step_3_0.pcd,36.961601,duck_step_2_20.pcd,57.271301,785
4,22.027,15,duck_step_4_0.pcd,30.340401,duck_step_3_20.pcd,37.333000,1126
5,11.822,8,duck_step_5_20.pcd,18.547100,duck_step_5_0.pcd,23.133101,1591
6,4.801,3,duck_step_6_200.pcd,32.925598,duck_step_6_180.pcd,34.846901,1720
