1,11.733,3,letterj_step_1_160.pcd,45.174599,letterj_step_1_120.pcd,58.071701,312
2,22.628,7,letterj_step_2_340.pcd,27.521099,letterj_step_2_320.pcd,31.323999,483
3,13.757,4,letterj_step_3_200.pcd,23.536800,letterj_step_3_180.pcd,25.079399,697
4,16.844,5,letterj_step_4_220.pcd,20.875000,letterj_step_4_160.pcd,24.273001,883
5,12.372,3,letterj_step_5_0.pcd,12.792400,letterj_step_4_220.pcd,43.919201,981
6,13.875,3,letterj_step_6_160.pcd,18.251301,letterj_step_6_140.pcd,21.513901,1095
7,10.467,3,letterj_step_7_0.pcd,22.137300,letterj_step_6_80.pcd,81.426102,1168
8,16.473,5,letterj_step_8_200.pcd,32.941101,letterj_step_8_20.pcd,38.080898,1501
1,4.548,1,letterj_step_1_240.pcd,27.100800,letterj_step_1_220.pcd,33.761200,337
2,14.366,4,letterj_step_2_320.pcd,33.034500,letterj_step_2_220.pcd,35.419498,536
3,13.816,4,letterj_step_3_200.pcd,30.774300,letterj_step_3_180.pcd,36.436001,636
4,10.176,3,letterj_step_4_320.pcd,24.044500,letterj_step_4_240.pcd,28.437500,725
5,13.095,4,letterj_step_5_320.pcd,16.159201,letterj_step_5_240.pcd,23.377501,823
6,10.03,3,letterj_step_6_320.pcd,40.570000,letterj_step_6_240.pcd,40.829201,1020
7,53.284,15,letterj_step_7_0.pcd,22.402800,letterj_step_6_80.pcd,60.700100,1225
8,10.539,3,letterj_step_8_40.pcd,15.443700,letterj_step_8_180.pcd,21.649401,1547
1,21.856,7,letterj_step_1_160.pcd,32.741402,letterj_step_1_120.pcd,48.121899,329
2,22.151,7,letterj_step_2_140.pcd,40.340900,letterj_step_2_0.pcd,58.197899,464
3,11.825,3,letterj_step_3_140.pcd,26.458799,letterj_step_3_120.pcd,46.007999,683
4,15.951,4,letterj_step_4_240.pcd,28.007601,letterj_step_4_140.pcd,41.313202,805
5,11.959,3,letterj_step_5_160.pcd,26.548000,letterj_step_5_140.pcd,27.681400,906
6,11.738,3,letterj_step_6_60.pcd,18.632500,letterj_step_5_0.pcd,31.914301,1071
7,11.849,3,letterj_step_7_40.pcd,12.424500,letterj_step_7_200.pcd,20.157499,1237
8,9.282,2,letterj_step_8_40.pcd,14.255800,letterj_step_8_180.pcd,19.807199,1529
