1,10.133,6,letterj_step_1_160.pcd,53.180401,letterj_step_1_120.pcd,68.737801,354
2,16.233,12,letterj_step_2_220.pcd,50.579102,letterj_step_2_140.pcd,55.949902,560
3,20.616,15,letterj_step_3_180.pcd,40.385601,letterj_step_3_160.pcd,45.043499,739
4,24.772,16,letterj_step_4_220.pcd,43.641800,letterj_step_4_160.pcd,43.707401,919
1,2.703,2,letterj_step_1_240.pcd,53.440300,letterj_step_1_160.pcd,54.568501,307
1,2.759,2,letterj_step_1_240.pcd,51.550098,letterj_step_1_160.pcd,57.194801,319
2,13.834,10,letterj_step_2_320.pcd,39.843800,letterj_step_2_220.pcd,40.552502,542
3,14.057,10,letterj_step_3_80.pcd,59.581600,letterj_step_3_100.pcd,60.665798,562
4,31.72,22,letterj_step_4_160.pcd,40.276299,letterj_step_4_0.pcd,47.669899,576
1,113.443,11,letterj_step_1_160.pcd,59.063702,letterj_step_1_140.pcd,73.860802,308
2,9.68,7,letterj_step_2_340.pcd,40.476898,letterj_step_2_320.pcd,41.722198,500
3,21.224,15,letterj_step_3_160.pcd,39.470798,letterj_step_3_100.pcd,50.904400,568
1,2.698,2,letterj_step_1_240.pcd,51.095100,letterj_step_1_20.pcd,59.793999,323
2,9.756,7,letterj_step_2_320.pcd,39.936501,letterj_step_2_180.pcd,49.905800,545
3,2.823,2,letterj_step_3_140.pcd,30.828501,letterj_step_3_120.pcd,37.502201,555
1,2.637,2,letterj_step_1_160.pcd,49.805901,letterj_step_1_120.pcd,64.614502,333
2,14.993,7,letterj_step_2_320.pcd,28.211901,letterj_step_2_200.pcd,43.297199,564
3,12.427,9,letterj_step_3_140.pcd,40.555801,letterj_step_3_120.pcd,43.319500,564
3,34.437,25,letterj_step_3_140.pcd,46.136002,letterj_step_3_120.pcd,64.949799,619
4,24.338,17,letterj_step_4_160.pcd,34.099098,letterj_step_4_0.pcd,44.140598,655
5,57.975,24,letterj_step_5_120.pcd,25.052999,letterj_step_4_0.pcd,33.569000,814
6,1.398,1,letterj_step_6_340.pcd,16.070200,letterj_step_5_340.pcd,22.025101,987
